"param_val","score_mean","score_sd","score_min","score_p01","score_p05","score_p10","score_p25","score_median","score_p75","score_p90","score_p95","score_p99","score_max","tail_drop_median","tail_drop_mean","fail_risk_60","critical_fail_risk_30","labor_hours_mean","labor_hours_median","labor_hours_p95","total_cost_mean","total_cost_median","total_cost_p95","total_cost_max","overtime_mean","overtime_median","overtime_p95","overtime_prob","backlog_mean","backlog_median","backlog_p95","backlog_prob"
19,44.63942,18.9024543709235,0,0,9.54900000000007,18.5760000000001,32.8700000000001,46.2800000000001,58.16,67.94,73.12,82.167,91.86,0.793668971477959,0.786085930327946,0.786,0.212,186.037682166667,186.035166666667,211.2035,8809.74458925766,8810.95377945376,8819.0952279671,8819.975837358,3769.74458925766,3770.95377945376,3779.0952279671,1,285.12,282,418.05,1
18,40.5999200000001,19.1498142492135,0,0,4.99500000000007,13.2580000000001,27.5400000000001,41.8000000000001,54.5100000000001,64.2,68.684,76.9,86.6,0.880502392344496,0.876970200926503,0.828,0.297,185.783657666667,185.006333333333,210.795466666667,8179.73129383027,8181.13336235513,8188.81701144291,8189.96932599089,3499.73129383027,3501.13336235514,3508.8170114429,1,328.407,325,456.05,1
17,34.2991800000001,19.2450592109152,0,0,0,5.18000000000009,20.7900000000001,35.1400000000001,49.25,58.284,63.647,75.38,85.12,1,1,0.916,0.397,187.058462333333,186.100833333333,210.940566666667,7549.79633156274,7550.93547419008,7559.24345160432,7559.99648132589,3229.79633156275,3230.93547419009,3239.24345160432,1,379.78,377.5,505.05,1
16,29.3642600000001,18.919515911744,0,0,0,0,14.1800000000001,30.5200000000001,43.2800000000001,54.5800000000001,60.382,72.3878,82.78,1,1,0.948,0.499,186.276338333333,186.008083333333,210.671041666667,6919.56131963796,6921.02656897911,6929.10771378801,6929.98520264627,2959.56131963796,2961.02656897912,2969.10771378801,1,419.632,418,543.05,1
15,24.7976000000001,18.4044285439682,0,0,0,0,8.21000000000011,24.6200000000001,38.8000000000001,49.3460000000001,56.02,65.6878,79.82,1,1,0.973,0.59,185.713946833333,185.166333333333,209.339808333334,6289.43421681285,6290.90325845067,6299.1291539466,6299.9978081311,2689.43421681284,2690.90325845067,2699.1291539466,1,462.049,459,581,1
14,21.0589800000001,17.4411602317573,0,0,0,0,3.65000000000009,19.4200000000001,34.98,44.0640000000001,50.835,61.9074,70.9,1,1,0.987,0.671,185.449787333333,184.534916666667,211.132791666666,5659.24344529555,5660.59910985359,5669.15678965799,5669.98988060627,2419.24344529555,2420.59910985359,2429.15678965799,1,505.324,501.5,634.05,1
13,15.4447600000001,15.6884595899887,0,0,0,0,0,11.9200000000001,26.1400000000001,38.1300000000001,46.944,55.9882,68.72,1,1,0.996,0.814,186.244137,185.57625,211.23225,5029.3556052663,5030.13840750099,5039.20472820874,5039.98657071023,2149.3556052663,2150.13840750099,2159.20472820873,1,553.788,549,675,1
12,13.7343200000001,15.0631612938908,0,0,0,0,0,8.96000000000011,23.8800000000001,36.5840000000001,43.3200000000001,52.2404,67.98,1,1,0.998,0.832,185.056895333333,184.218333333334,209.8992,4399.7519227652,4401.1249582486,4409.18871011188,4409.99042476103,1879.7519227652,1881.1249582486,1889.18871011188,1,591.682,589,713.05,1
11,9.19566000000005,12.8298941752826,0,0,0,0,0,1.15000000000012,15.5900000000001,29.1660000000001,37.3220000000001,49.2474,67.28,1,1,0.999,0.903,186.469306333333,185.953833333333,210.436608333333,3769.72616868004,3770.73578404638,3779.04777994302,3779.96607947888,1609.72616868004,1610.73578404638,1619.04777994302,1,643.661,644,764.1,1
10,7.39798000000005,11.1424449740441,0,0,0,0,0,0,13.6950000000001,25.3640000000001,30.5400000000001,43.3274000000001,58.36,NA,1,1,0.949,185.716768333333,185.754916666667,209.18385,3139.62441803297,3140.85542555228,3149.13640139251,3149.98978634961,1339.62441803297,1340.85542555228,1349.13640139251,1,684.351,684,804.05,1
9,4.78192000000003,8.87883508271363,0,0,0,0,0,0,6.55000000000006,17.9820000000001,24.8110000000001,35.8556000000001,54.6200000000001,NA,1,1,0.975,186.033418166667,185.254916666667,210.628958333333,2509.48659933618,2510.77491017758,2519.20654514174,2519.98948947588,1069.48659933618,1070.77491017758,1079.20654514174,1,730.234,727,860.05,1
8,3.59350000000003,7.83817314865574,0,0,0,0,0,0,2.15000000000009,14.3180000000001,23.1020000000001,34.3744000000001,51.6200000000001,NA,1,1,0.986,186.198397666667,185.637,211.112841666667,1879.8687481034,1881.0842522506,1888.93827008949,1889.99275682562,799.868748103402,801.084252250599,808.938270089492,1,775.817,772,903.05,1
7,2.26300000000002,6.09472367352757,0,0,0,0,0,0,0,9.6640000000001,16.4800000000001,30.6204000000001,38.8000000000001,NA,1,1,0.989,184.941458666667,183.793666666667,209.148641666667,1249.69380524416,1250.85337122547,1258.87103009129,1259.9359272518,529.693805244164,530.853371225475,538.871030091288,1,813.599,809,935.05,1
6,1.10052000000001,3.84321006363088,0,0,0,0,0,0,0,2.30000000000013,9.00200000000011,20.2352000000001,29.8400000000001,NA,1,1,1,185.646229833333,185.213666666667,209.664275,619.379227400371,620.92026315656,629.079932782,629.924012122616,259.379227400371,260.92026315656,269.079932782,1,861.629,860,985.1,1
5,1.10348000000001,3.86116340919061,0,0,0,0,0,0,0,3.00400000000012,8.9220000000001,18.0536000000001,35.1400000000001,NA,1,1,0.999,186.115913,185.097416666667,211.201858333333,619.672443907405,621.078331258701,629.25714324544,629.994494021306,259.672443907405,261.078331258701,269.25714324544,1,863.69,859,994.1,1
4,1.26498000000001,4.36779702486856,0,0,0,0,0,0,0,3.00400000000012,10.4000000000001,21.7684000000001,35.1400000000001,NA,1,1,0.996,185.897234166667,185.655583333333,210.5229,619.703234613782,620.613350641823,628.990492670395,629.980952853875,259.703234613782,260.613350641823,268.990492670394,1,862.834,859.5,989.05,1
